,wl,c,h,i,k
0,660,3.391001373529434e-13,3.468669205904007e-11,1.2111374139785767e-09,8.57493782043457e-09
1,670,7.169020682340488e-14,6.09886273741722e-11,1.312324047088623e-09,1.0240718841552735e-08
2,680,9.181441419059411e-14,6.213998049497604e-11,2.177497863769531e-09,9.627321243286132e-09
3,690,9.745788702275604e-14,8.362756669521332e-11,2.189369201660156e-09,1.1976165771484375e-08
4,700,1.902051590150222e-13,6.145361065864563e-11,2.289280891418457e-09,1.2384385108947754e-08
5,710,5.008456064388156e-13,9.947109222412109e-11,2.426424503326416e-09,1.2393104553222656e-08
6,720,6.312864716164768e-13,1.1410002410411835e-10,3.4590930938720703e-09,1.5366113662719726e-08
7,730,1.542054960737005e-13,1.7480942606925963e-10,3.758777141571045e-09,1.4756633758544922e-08
8,740,3.81473837478552e-14,6.335285305976868e-11,2.755447864532471e-09,8.814796447753906e-09
9,750,2.3857431951910257e-12,2.614754438400269e-10,6.192025184631348e-09,2.234990692138672e-08
10,760,5.355461034923792e-12,3.426583409309387e-10,7.460692405700683e-09,2.9428401947021484e-08
11,770,5.474087782204151e-12,4.4775056838989256e-10,8.033497810363769e-09,3.19788818359375e-08
12,780,5.114070139825344e-12,5.531555414199829e-10,1.006063461303711e-08,3.3851085662841795e-08
13,790,4.490089602768421e-12,6.718029975891113e-10,1.1951552391052246e-08,3.923130798339844e-08
14,800,4.843098577111959e-12,5.733636617660523e-10,1.0905028343200684e-08,4.2892681121826175e-08
15,810,8.730508387088775e-12,7.536630630493164e-10,1.074042510986328e-08,3.6230594635009766e-08
16,820,1.2378748506307603e-11,8.786597251892089e-10,1.3677990913391113e-08,4.565966796875e-08
17,830,9.390180930495263e-12,1.1175905466079712e-09,1.516253471374512e-08,5.2024826049804685e-08
18,840,1.0994840413331985e-11,1.2714122533798217e-09,1.7607261657714844e-08,5.287552642822266e-08
19,850,2.049485221505165e-11,8.660093545913696e-10,1.5965768814086914e-08,4.716150665283203e-08
20,860,1.8396086990833284e-11,1.141992449760437e-09,1.607635498046875e-08,4.666576766967773e-08
21,870,1.80547833442688e-11,1.105651617050171e-09,1.5998424530029297e-08,4.2537490844726566e-08
22,880,7.2462419047951696e-12,7.369153499603271e-10,1.1859592437744141e-08,2.7044300079345702e-08
23,890,4.433286376297474e-12,7.115734815597534e-10,1.1349027633666992e-08,2.5772891998291016e-08
24,900,1.6314844833686947e-13,4.518301784992218e-11,1.6259982585906983e-09,2.74440336227417e-09
25,910,7.762267273392353e-18,2.5040906621143224e-13,2.7708418667316435e-11,3.789464384317398e-11
26,920,4.121264442801475e-12,3.912140727043152e-10,6.499762535095215e-09,1.658856201171875e-08
