wavelength[nm],mua[1/cm],mus[1/cm]
650,2.8203399999999994,4.230769230769232
651,2.7799249999999995,4.224270353302611
652,2.73941,4.2177914110429455
653,2.6988949999999994,4.211332312404288
654,2.65838,4.204892966360856
655,2.6187449999999997,4.198473282442748
656,2.57917,4.192073170731708
657,2.5403749999999996,4.185692541856925
658,2.5015799999999997,4.179331306990881
659,2.4703649999999997,4.172989377845219
660,2.4392099999999997,4.166666666666668
661,2.4103950000000003,4.16036308623298
662,2.3815799999999996,4.154078549848943
663,2.3527649999999998,4.147812971342384
664,2.3238499999999993,4.141566265060241
665,2.295035,4.135338345864661
666,2.2662199999999997,4.1291291291291286
667,2.2382850000000003,4.122938530734633
668,2.2103099999999993,4.116766467065868
669,2.1832149999999997,4.110612855007474
670,2.1561199999999996,4.104477611940299
671,2.1290249999999995,4.0983606557377055
672,2.1019299999999994,4.092261904761905
673,2.075795,4.086181277860327
674,2.0496600000000003,4.080118694362017
675,2.026505,4.074074074074074
676,2.00352,4.068047337278107
677,1.9814749999999997,4.062038404726735
678,1.9594299999999996,4.056047197640118
679,1.9386649999999996,4.0500736377025035
680,1.9179,4.044117647058823
681,1.8971349999999998,4.038179148311308
682,1.87637,4.032258064516128
683,1.8556449999999995,4.026354319180088
684,1.8348799999999998,4.02046783625731
685,1.8141150000000001,4.014598540145985
686,1.79335,4.0087463556851315
687,1.7760249999999997,4.002911208151383
688,1.7586999999999997,3.9970930232558146
689,1.7440749999999996,3.9912917271407844
690,1.72941,3.9855072463768124
691,1.7178849999999994,3.97973950795948
692,1.7063599999999999,3.973988439306359
693,1.6949349999999996,3.9682539682539684
694,1.6834100000000003,3.9625360230547555
695,1.6731649999999998,3.956834532374102
696,1.66292,3.951149425287357
697,1.6539549999999998,3.9454806312769013
698,1.64504,3.9398280802292263
699,1.636005,3.9341917024320465
700,1.62697,3.928571428571429
701,1.61995,3.9229671897289586
702,1.61294,3.917378917378918
703,1.6059299999999999,3.9118065433854916
704,1.5989299999999997,3.906250000000001
705,1.5927899999999997,3.9007092198581566
706,1.58662,3.8951841359773383
707,1.5819499999999997,3.88967468175389
708,1.5772699999999997,3.884180790960452
709,1.5747200000000001,3.878702397743301
710,1.57216,3.8732394366197194
711,1.5695999999999999,3.867791842475387
712,1.5670399999999995,3.862359550561798
713,1.56448,3.8569424964936894
714,1.5619299999999998,3.851540616246499
715,1.5606499999999999,3.8461538461538467
716,1.5593800000000002,3.8407821229050287
717,1.55939,3.835425383542539
718,1.55939,3.8300835654596104
719,1.5596100000000002,3.824756606397775
720,1.55979,3.8194444444444446
721,1.56042,3.8141470180305137
722,1.56104,3.8088642659279786
723,1.56167,3.8035961272475793
724,1.5623399999999998,3.798342541436464
725,1.5634000000000001,3.793103448275863
726,1.5644699999999998,3.787878787878789
727,1.5633199999999996,3.782668500687758
728,1.56217,3.7774725274725274
729,1.5610499999999998,3.7722908093278473
730,1.5599700000000003,3.767123287671233
731,1.5724400000000003,3.7619699042407673
732,1.5848700000000002,3.7568306010928962
733,1.5973400000000002,3.7517053206002733
734,1.6097700000000001,3.7465940054495923
735,1.6246800000000001,3.7414965986394555
736,1.6395999999999997,3.7364130434782616
737,1.6568399999999999,3.73134328358209
738,1.67409,3.726287262872629
739,1.6958000000000002,3.721244925575102
740,1.7175600000000002,3.7162162162162167
741,1.7474,3.711201079622133
742,1.7772400000000002,3.706199460916442
743,1.8070800000000005,3.7012113055181697
744,1.8369199999999999,3.696236559139785
745,1.8710899999999997,3.691275167785235
746,1.9052300000000002,3.6863270777479897
747,1.9425299999999999,3.6813922356091036
748,1.9798300000000002,3.6764705882352944
749,2.01842,3.6715620827770366
750,2.057,3.666666666666667
751,2.1021599999999996,3.661784287616512
752,2.14731,3.6569148936170217
753,2.17007,3.6520584329349273
754,2.19283,3.6472148541114064
755,2.2118,3.6423841059602657
756,2.23077,3.6375661375661377
757,2.2430499999999998,3.6327608982826955
758,2.2552899999999996,3.6279683377308714
759,2.26433,3.623188405797102
760,2.27337,3.6184210526315796
761,2.27492,3.613666228646518
762,2.27643,3.6089238845144362
763,2.2755799999999997,3.604193971166448
764,2.27477,3.5994764397905765
765,2.2747200000000003,3.594771241830066
766,2.27471,3.5900783289817237
767,2.2755,3.5853976531942635
768,2.2762899999999995,3.580729166666667
769,2.2770099999999998,3.5760728218465543
770,2.2777700000000003,3.571428571428572
771,2.27849,3.5667963683527892
772,2.27922,3.562176165803109
773,2.27994,3.5575679172056924
774,2.28066,3.5529715762273906
775,2.27967,3.548387096774194
776,2.2781100000000003,3.543814432989691
777,2.2749699999999997,3.5392535392535396
778,2.27188,3.534704370179949
779,2.2712600000000003,3.530166880616175
780,2.2706399999999998,3.525641025641026
781,2.2700600000000004,3.52112676056338
782,2.2694500000000004,3.516624040920717
783,2.26887,3.5121328224776507
784,2.26825,3.50765306122449
785,2.2663900000000003,3.5031847133757967
786,2.2644900000000003,3.4987277353689574
787,2.26233,3.494282083862771
788,2.2601700000000005,3.489847715736041
789,2.2592299999999996,3.4854245880861856
790,2.25833,3.4810126582278484
791,2.25739,3.47661188369153
792,2.25645,3.4722222222222228
793,2.2555099999999997,3.4678436317780585
794,2.2545699999999997,3.4634760705289676
795,2.26189,3.4591194968553465
796,2.2692099999999997,3.454773869346734
797,2.28474,3.450439146800502
798,2.3003,3.4461152882205512
799,2.3030199999999996,3.44180225281602
800,2.3057300000000005,3.4375000000000004
801,2.313675,3.4332084893882646
802,2.32163,3.4289276807980054
803,2.3282675,3.4246575342465757
804,2.3349525,3.420398009950249
805,2.3415775,3.416149068322982
806,2.3482125000000003,3.411910669975186
807,2.3591375,3.4076827757125154
808,2.370095,3.4034653465346536
809,2.3768300000000004,3.3992583436341164
810,2.3835650000000004,3.3950617283950617
811,2.3937524999999997,3.3908754623921085
812,2.40395,3.386699507389163
813,2.4141475000000003,3.3825338253382538
814,2.424375,3.3783783783783794
815,2.433675,3.3742331288343563
816,2.4430225,3.370098039215687
817,2.46009,3.3659730722154224
818,2.4771275,3.3618581907090475
819,2.4949850000000002,3.3577533577533587
820,2.5128025,3.3536585365853666
821,2.534345,3.3495736906211944
822,2.55587,3.345498783454988
823,2.5773825,3.341433778857838
824,2.5989275000000007,3.3373786407767
825,2.61743,3.333333333333334
826,2.6314250000000006,3.329297820823245
827,2.6424,3.3252720677146312
828,2.6534075,3.321256038647343
829,2.6644125,3.317249698431846
830,2.6753675,3.3132530120481936
831,2.6890075,3.309265944645006
832,2.7026075,3.305288461538462
833,2.71623,3.301320528211285
834,2.72985,3.2973621103117514
835,2.7443300000000006,3.293413173652695
836,2.75881,3.2894736842105265
837,2.77412,3.2855436081242533
838,2.7894525000000012,3.2816229116945115
839,2.8047725000000003,3.277711561382599
840,2.8201324999999997,3.2738095238095237
841,2.8374300000000003,3.269916765755054
842,2.854725,3.26603325415677
843,2.8720425000000005,3.262158956109134
844,2.88931,3.25829383886256
845,2.9031975,3.2544378698224863
846,2.9170925000000003,3.2505910165484635
847,2.9275200000000003,3.246753246753247
848,2.9379575000000004,3.242924528301887
849,2.9484025000000003,3.2391048292108366
850,2.95885,3.235294117647059
851,2.9658900000000004,3.2314923619271445
852,2.9729200000000002,3.2276995305164324
853,2.98001,3.223915592028137
854,2.9870600000000005,3.2201405152224827
855,2.99709,3.2163742690058483
856,3.0071225000000004,3.2126168224299074
857,3.0207025000000005,3.208868144690782
858,3.0342825,3.2051282051282053
859,3.0478825,3.20139697322468
860,3.0614925,3.197674418604652
861,3.0762025000000004,3.193960511033682
862,3.0909125,3.190255220417634
863,3.1056225,3.1865585168018544
864,3.1203225000000008,3.182870370370371
865,3.1324724999999995,3.1791907514450872
866,3.1446324999999997,3.1755196304849886
867,3.1541824999999997,3.1718569780853523
868,3.1637725,3.1682027649769595
869,3.1739025000000005,3.1645569620253164
870,3.1840825,3.160919540229885
871,3.1963025,3.1572904707233063
872,3.2085625,3.1536697247706424
873,3.2208000000000006,3.150057273768614
874,3.2330600000000005,3.1464530892448517
875,3.2457199999999995,3.142857142857143
876,3.2523600000000004,3.1392694063926947
877,3.2594225,3.1356898517673892
878,3.2664925,3.1321184510250566
879,3.273555,3.128555176336747
880,3.280635,3.125
881,3.290882500000001,3.121452894438139
882,3.3011375000000003,3.117913832199547
883,3.3113750000000004,3.1143827859569657
884,3.3216199999999994,3.1108597285067874
885,3.3309875,3.1073446327683625
886,3.3403950000000004,3.1038374717832964
887,3.3489200000000006,3.100338218714769
888,3.3574374999999996,3.0968468468468475
889,3.3660325,3.0933633295838026
890,3.3746300000000007,3.0898876404494384
891,3.3855575,3.08641975308642
892,3.396495,3.0829596412556053
893,3.4074150000000003,3.0795072788353868
894,3.4183825,3.0760626398210293
895,3.42932,3.072625698324023
896,3.4402475000000003,3.069196428571429
897,3.4511849999999997,3.0657748049052396
898,3.4621049999999998,3.062360801781738
899,3.4730525,3.0589543937708563
900,3.4839900000000004,3.055555555555556
901,3.4928125000000003,3.0521642619311877
902,3.5016425,3.0487804878048785
903,3.5102449999999994,3.045404208194906
904,3.5188475,3.042035398230089
905,3.5266075000000003,3.0386740331491717
906,3.5343700000000005,3.035320088300221
907,3.5412425,3.031973539140022
908,3.548115,3.0286343612334803
909,3.555045,3.0253025302530263
910,3.5619375000000004,3.0219780219780223
911,3.5923975,3.0186608122941823
912,3.6228500000000006,3.015350877192983
913,3.653120000000001,3.0120481927710845
914,3.6833400000000003,3.00875273522976
915,3.7126400000000004,3.005464480874317
916,3.7419625000000005,3.002183406113537
917,3.7708625000000007,2.9989094874591062
918,3.79978,2.9956427015250546
919,3.8286249999999997,2.9923830250272037
920,3.8575049999999997,2.9891304347826084
921,3.9112700000000005,2.9858849077090124
922,3.9649500000000004,2.9826464208242953
923,4.018695,2.9794149512459374
924,4.072355000000001,2.9761904761904763
925,4.12289,2.972972972972973
926,4.164735,2.9697624190064795
927,4.2044500000000005,2.9665587918015106
928,4.244250000000001,2.963362068965517
929,4.283975,2.9601722282023686
930,4.32366,2.956989247311828
931,4.388810000000001,2.9538131041890443
932,4.453950000000001,2.950643776824035
933,4.51821,2.9474812433011794
934,4.582509999999999,2.9443254817987152
935,4.64766,2.9411764705882355
936,4.712925,2.9380341880341883
937,4.778905000000001,2.9348986125933836
938,4.844925000000001,2.931769722814499
939,4.9109050000000005,2.928647497337593
940,4.976925,2.925531914893617
941,5.064055000000001,2.9224229543039333
942,5.1512899999999995,2.91932059447983
943,5.23753,2.916224814422057
944,5.323729999999999,2.9131355932203395
945,5.408425000000001,2.910052910052911
946,5.4930150000000015,2.906976744186047
947,5.576314999999999,2.9039070749736013
948,5.659665,2.9008438818565403
949,5.74305,2.897787144362487
950,5.826370000000001,2.8947368421052633
951,5.84043,2.891692954784438
952,5.85444,2.8886554621848743
953,5.869619999999999,2.8856243441762857
954,5.884849999999999,2.8825995807127884
955,5.8996,2.8795811518324617
956,5.9144,2.876569037656904
957,5.928750000000001,2.8735632183908044
958,5.943100000000001,2.8705636743215033
959,5.957450000000001,2.8675703858185613
960,5.97179,2.864583333333334
961,5.9860999999999995,2.8616024973985437
962,6.00046,2.858627858627859
963,6.014460000000001,2.8556593977154727
964,6.028460000000001,2.852697095435685
965,6.0399400000000005,2.849740932642488
966,6.05138,2.846790890269152
967,6.06199,2.8438469493278182
968,6.072600000000001,2.8409090909090917
969,6.083200000000001,2.8379772961816307
970,6.09381,2.835051546391753
971,6.08406,2.8321318228630283
972,6.0743,2.829218106995885
973,6.064860000000001,2.8263103802672154
974,6.05537,2.82340862422998
975,6.04462,2.820512820512821
976,6.003819999999999,2.817622950819672
977,5.9614199999999995,2.8147389969293757
978,5.91902,2.8118609406952966
979,5.87636,2.8089887640449436
980,5.833710000000001,2.806122448979593
981,5.8060599999999996,2.8032619775739045
982,5.778370000000001,2.8004073319755602
983,5.75071,2.7975584944048832
984,5.72306,2.794715447154472
985,5.69369,2.7918781725888326
986,5.66431,2.7890466531440166
987,5.6332200000000014,2.7862208713272545
988,5.602130000000001,2.7834008097166
989,5.571030000000001,2.7805864509605667
990,5.539940000000001,2.7777777777777786
991,5.48635,2.77497477295661
992,5.432790000000001,2.7721774193548394
993,5.379200000000001,2.7693856998992956
994,5.325609999999999,2.7665995975855133
995,5.2720199999999995,2.7638190954773867
996,5.21842,2.761044176706828
997,5.16483,2.7582748244734208
998,5.1112400000000004,2.755511022044088
999,5.0576799999999995,2.7527527527527536
1000,5.00409,2.75
